ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_protein_name,match_result,processing_time
FETUA_HUMAN,P02765,AHSG,Alpha-2-HS-glycoprotein chain B,3,9,10,22,bin_5,879,0,Alpha-2-HS glycoprotein,0,1.8
NPT4_HUMAN,O00476,SLC17A3,Sodium-dependent phosphate transport protein 4,7,9,6,22,bin_5,55,177,Sulfate anion transporter SLC17A3,0,2.65
TRIPB_HUMAN,Q15643,TRIP11,Thyroid receptor-interacting protein 11,2,11,9,22,bin_5,73,20,Thymine-directed DNA helicase B,0,1.25
CYDFLPIKAS,P14778,IL1R1,"Interleukin-1 receptor type 1, soluble form",8,10,4,22,bin_5,1258,88,Interleukin-1 receptor type 1,0,4.66
TRIM8_HUMAN,Q9BZR9,TRIM8,E3 ubiquitin-protein ligase TRIM8,6,13,3,22,bin_5,101,37,Tripartite motif-containing protein 8,0,6.84
FGF12_HUMAN,P61328,FGF12,Fibroblast growth factor 12,4,14,4,22,bin_5,194,11192,Fibroblast growth factor 12,1,1.36
NPY5R_HUMAN,Q15761,NPY5R,Neuropeptide Y receptor type 5,4,14,4,22,bin_5,81,152,Neuropeptide Y receptor type 5 subtype Y5,0,1.84
NPY_HUMAN,P01303,NPY,C-flanking peptide of NPY,5,12,5,22,bin_5,11769,21,Neuropeptide Y,0,1.29
BAF_HUMAN,O75531,BANF1,"Barrier-to-autointegration factor, N-terminally processed ",4,11,7,22,bin_5,199,0,B-lymphocyte-specific actin-binding protein 1,0,5.25
MYO3A_HUMAN,Q8NEV4,MYO3A,Myosin-IIIa,9,6,7,22,bin_5,66,22,Myosin-3a,0,2.94
MYO1A_HUMAN,Q9UBC5,MYO1A,Unconventional myosin-Ia,4,6,12,22,bin_5,69,71,Unconventional myosin-I alpha chain,0,4.92
PRP31_HUMAN,Q8WWY3,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,7,3,12,22,bin_5,201,20,"Pre-mRNA-processing factor 31, 60kDa",0,1.36
FFAR2_HUMAN,O15552,FFAR2,Free fatty acid receptor 2,2,18,2,22,bin_5,379,3785,Free fatty acid receptor 2,1,2.83
BL1S1_HUMAN,P78537,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,0,12,10,22,bin_5,95,86,BLOC-1 subunit 1,0,1.14
CD20_HUMAN,P11836,MS4A1,B-lymphocyte antigen CD20,4,11,7,22,bin_5,164,3017,Membrane-spanning 4-domains A1 subunit of CD20 antigen,0,1.03
IFT52_HUMAN,Q9Y366,IFT52,Intraflagellar transport protein 52 homolog,0,12,10,22,bin_5,48,3,Intraflagellar transport protein 52 homolog,1,1.78
TSG6_HUMAN,P98066,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,4,14,4,22,bin_5,573,63,Tumor necrosis factor-alpha-induced protein 6,0,0.38
FNTA_HUMAN,P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,8,8,6,22,bin_5,56,0,"Farnesyltransferase, CAAX-box, alpha subunit",0,2.32
NPAS2_HUMAN,Q99743,NPAS2,Neuronal PAS domain-containing protein 2,8,9,5,22,bin_5,413,69,Neuronal PAS domain-containing protein 2,1,0.28
NCOA6_HUMAN,Q14686,NCOA6,Nuclear receptor coactivator 6,7,8,7,22,bin_5,170,1802,Nuclear receptor coactivator 6,1,0.92
NPC2_HUMAN,P61916,NPC2,NPC intracellular cholesterol transporter 2 ,3,13,6,22,bin_5,734,182,Niemann-Pick protein C2,0,0.96
GDF11_HUMAN,O95390,GDF11,Growth/differentiation factor 11 ,2,16,4,22,bin_5,564,410,Growth differentiation factor 11,0,0.79
NCKX2_HUMAN,Q9UI40,SLC24A2,Sodium/potassium/calcium exchanger 2,3,17,2,22,bin_5,24,28,Solute carrier family 24 member 2,0,2.75
CBX1_HUMAN,P83916,CBX1,Chromobox protein homolog 1,5,4,13,22,bin_5,240,886,Chromobox protein homolog 1,1,1.88
BIG1_HUMAN,Q9Y6D6,ARFGEF1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,3,10,9,22,bin_5,68,50,"Big1, ARF-GAP 1, C-terminus",0,2.73
GDF7_HUMAN,Q7Z4P5,GDF7,Growth/differentiation factor 7,3,18,1,22,bin_5,111,50,Growth differentiation factor D,0,1.7
RHOU_HUMAN,Q7L0Q8,RHOU,Rho-related GTP-binding protein RhoU,5,10,7,22,bin_5,157,2,Rho-related GTP-binding protein RhoU,1,1.41
CDON_HUMAN,Q4KMG0,CDON,Cell adhesion molecule-related/down-regulated by oncogenes,0,21,1,22,bin_5,157,3,Cell adhesion-related protein CDON,0,0.78
MLRV_HUMAN,P10916,MYL2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform ",4,10,8,22,bin_5,257,11,Light merohedral chain C,0,2.94
TOM70_HUMAN,O94826,TOMM70,Mitochondrial import receptor subunit TOM70 ,3,12,7,22,bin_5,70,36,"Translocase of outer mitochondrial membrane 70 homolog, mitochondrial",0,2.68
MARCS_HUMAN,P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,4,9,9,22,bin_5,1078,925,Myristoylated alanine-rich C-kinase substrate,1,0.72
KDM4C_HUMAN,Q5VYJ3,KDM4C,Lysine-specific demethylase 4C,9,9,4,22,bin_5,202,7,Lysine-specific demethylase 4C,1,1.52
DVL3_HUMAN,Q92997,DVL3,Segment polarity protein dishevelled homolog DVL-3,5,15,2,22,bin_5,258,2,Dishevelled segment polarity protein 3,0,0.48
SPAG5_HUMAN,Q96R06,SPAG5,Sperm-associated antigen 5,1,11,10,22,bin_5,141,94,Sperasin,0,1.13
KDM6B_HUMAN,O15054,KDM6B,Lysine-specific demethylase 6B,6,13,3,22,bin_5,725,31,Lysine-specific demethylase 6B,1,2.25
AKT3_HUMAN,Q9Y243,AKT3,RAC-gamma serine/threonine-protein kinase,4,15,3,22,bin_5,1142,9,Protein kinase B beta,0,0.5
DUS6_HUMAN,Q16828,DUSP6,Dual specificity protein phosphatase 6,6,13,3,22,bin_5,639,453,Dual specificity protein phosphatase 6,1,3.25
ZN207_HUMAN,O43670,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207 ,5,9,8,22,bin_5,32,0,"Zinc finger protein ZPR1, isozyme ZNF207",0,0.72
AKP8L_HUMAN,Q9ULX6,AKAP8L,A-kinase anchor protein 8-like,7,7,8,22,bin_5,43,5,A-kinase anchoring protein 8-like protein 1,0,1.27
PDLI5_HUMAN,Q96HC4,PDLIM5,PDZ and LIM domain protein 5 ,6,6,10,22,bin_5,133,0,Z-disc alternative adaptor protein,0,2.03
THIO_HUMAN,P10599,TXN,Thioredoxin,5,11,6,22,bin_5,669,15410,Thioredoxin,1,1.12
SPTN1_HUMAN,ARLAALADQW,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",6,2,14,22,bin_5,115,10,"Spectrin alpha chain, non-erythrocytic 1",1,1.91
THAP7_HUMAN,Q9BT49,THAP7,THAP domain-containing protein 7,12,4,6,22,bin_5,14,8,Thap domain-containing protein 7,1,0.88
TGFI1_HUMAN,O43294,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,5,12,5,22,bin_5,213,121,TGF-beta-induced protein ig-h3,0,1.97
DPYL3_HUMAN,Q14195,DPYSL3,Dihydropyrimidinase-related protein 3,5,9,8,22,bin_5,169,66,Dynein axonemal assembly factor 3,0,4.42
ADCY6_HUMAN,O43306,ADCY6,Adenylate cyclase type 6,5,13,4,22,bin_5,66,1712,Adenylate cyclase type 6,1,2.08
TIAR_HUMAN,Q01085,TIAL1,Nucleolysin TIAR,5,10,7,22,bin_5,155,5,TIAL1 protein,0,3.7
GRIK3_HUMAN,Q13003,GRIK3,"Glutamate receptor ionotropic, kainate 3",6,6,10,22,bin_5,72,1140,"Glutamate receptor ionotropic, kainate 3",1,3.06
ZDHC7_HUMAN,Q9NXF8,ZDHHC7,Palmitoyltransferase ZDHHC7 ,4,14,4,22,bin_5,35,11,Zinc finger DHHC-type domain-containing protein 7,0,0.62
DYH11_HUMAN,Q96DT5,DNAH11,Dynein axonemal heavy chain 11 ,5,9,8,22,bin_5,147,55,"Dynein axonemal assembly factor 3, flagellar assembly factor 3",0,2.37
ATAT_HUMAN,Q8NDK9,ATAT1,Alpha-tubulin N-acetyltransferase 1 ,2,12,8,22,bin_5,81,17,ATP-dependent DNA helicase ATAT1,0,3.89
SNP29_HUMAN,O95721,SNAP29,Synaptosomal-associated protein 29 ,2,9,11,22,bin_5,202,79,Snapin/ZNH2 domain-containing protein 4,0,1.19
MCM7_HUMAN,P33993,MCM7,DNA replication licensing factor MCM7,4,10,8,22,bin_5,763,424,Cdc25 phosphatase domain-containing protein 7,0,1.47
PFKAL_HUMAN,P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type ",9,6,7,22,bin_5,203,3,"Phosphofructokinase, liver type",0,2.59
PEX19_HUMAN,P40855,PEX19,Peroxisomal biogenesis factor 19 ,4,10,8,22,bin_5,182,0,Peroxin-19,0,0.79
SOCS2_HUMAN,O14508,SOCS2,Suppressor of cytokine signaling 2 ,4,15,3,22,bin_5,807,6313,Suppressor of cytokine signaling protein 2,0,0.94
SOCS3_HUMAN,O14543,SOCS3,Suppressor of cytokine signaling 3 ,5,14,3,22,bin_5,4251,6721,Suppressor of cytokine signaling protein 3,0,1.19
CEMIP_HUMAN,Q8WUJ3,CEMIP,Cell migration-inducing and hyaluronan-binding protein,5,8,9,22,bin_5,194,28,Cell migration-inducing protein 1,0,1.81
E4F1_HUMAN,Q66K89,E4F1,Transcription factor E4F1,9,9,4,22,bin_5,53,48,Transcription factor E4F1,1,0.66
IKQETREKEN,Q9UFE4,CCDC39,Coiled-coil domain-containing protein 39 ,0,18,4,22,bin_5,72,13,Dynein axonemal assembly factor 4,0,1.05
MAX_HUMAN,P61244,MAX,Protein max ,9,4,9,22,bin_5,252097,91846,Myeloid leukemia factor 1,0,4.37
DYLT1_HUMAN,P63172,DYNLT1,Dynein light chain Tctex-type 1,2,9,11,22,bin_5,72,15,Dynein light chain 1 type 1,0,1.06
DAPK2_HUMAN,Q9UIK4,DAPK2,Death-associated protein kinase 2,5,11,6,22,bin_5,1254,1212,DAP kinase 2,0,0.25
AL1A1_HUMAN,P00352,ALDH1A1,Aldehyde dehydrogenase 1A1 ,9,8,5,22,bin_5,1879,273,"Retinal dehydrogenase 1, NADP-preferring 1, aldehyde dehydrogenase 1 family member A1",0,0.76
PDE3B_HUMAN,Q13370,PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B ",6,11,5,22,bin_5,333,44,"3',5'-cyclic-AMP phosphodiesterase 3B",0,2.47
KIF4A_HUMAN,O95239,KIF4A,Chromosome-associated kinesin KIF4A,6,6,10,22,bin_5,247,4,Kinesin-like protein KIF4A,0,0.58
STABP_HUMAN,O95630,STAMBP,STAM-binding protein,5,9,8,22,bin_5,88,38,STAM-binding protein,1,1.11
DOCK1_HUMAN,Q14185,DOCK1,Dedicator of cytokinesis protein 1,4,10,8,22,bin_5,227,180,Zinc finger protein DOCK1,0,0.21
TAF12_HUMAN,Q16514,TAF12,Transcription initiation factor TFIID subunit 12 ,5,12,5,22,bin_5,67,24,"TAF15-like protein 2, N-terminally processed",0,0.98
LITAF_HUMAN,Q99732,LITAF,Lipopolysaccharide-induced tumor necrosis factor-alpha factor ,5,7,10,22,bin_5,333,3558,Lipopolysaccharide-induced TNF factor,0,6.12
TAF4_HUMAN,O00268,TAF4,Transcription initiation factor TFIID subunit 4,3,12,7,22,bin_5,121,33,"TAF4B, TATA-binding protein-associated factor 4B, TAFII-105, TAF4",0,10.67
DGKI_HUMAN,O75912,DGKI,Diacylglycerol kinase iota ,3,6,13,22,bin_5,37,50,Diacylglycerol kinase iota,1,1.04
LIN41_HUMAN,Q2Q1W2,TRIM71,E3 ubiquitin-protein ligase TRIM71 ,5,16,1,22,bin_5,86,33,Tripartite motif-containing protein 71,0,4.76
PAR10_HUMAN,Q53GL7,PARP10,Protein mono-ADP-ribosyltransferase PARP10 ,7,10,5,22,bin_5,95,65,Poly(ADP-ribose) polymerase 10,0,7.97
DGCR8_HUMAN,Q9NRW2,DGCR8,Microprocessor complex subunit DGCR8,8,4,10,22,bin_5,703,23,DiGeorge critical region gene 8 protein,0,3.74
TBR1_HUMAN,Q16650,TBR1,T-box brain protein 1,5,15,2,22,bin_5,383,246,T-box protein TBR1,0,2.55
DEFB1_HUMAN,P60022,DEFB1,Beta-defensin 1,2,13,7,22,bin_5,627,2968,Defensin beta 1,0,2.94
ABI3_HUMAN,Q9P2A4,ABI3,ABI gene family member 3,4,10,8,22,bin_5,588,110,Abscisic acid insensitive 3,0,1.16
LAMA2_HUMAN,P24043,LAMA2,Laminin subunit alpha-2,2,12,8,22,bin_5,459,305,Laminin subunit alpha-2,1,5.73
PARVA_HUMAN,Q9NVD7,PARVA,Alpha-parvin,3,11,8,22,bin_5,2017,89,Alpha-actinin-2,0,2.52
KS6A4_HUMAN,O75676,RPS6KA4,Ribosomal protein S6 kinase alpha-4,7,10,5,22,bin_5,73,3,Ribosomal protein S6 kinase A4,0,3.17
LMAN1_HUMAN,Q9UQG7,LMAN1,Protein ERGIC-53,3,8,11,22,bin_5,222,187,Luman,0,3.01
DHSO_HUMAN,Q00796,SORD,Sorbitol dehydrogenase ,9,7,6,22,bin_5,153,2180,Sorbitol-6-phosphate dehydrogenase,0,9.96
USO1_HUMAN,O60763,USO1,General vesicular transport factor p115,2,9,11,22,bin_5,54,18,Uso1p-binding protein 1,0,0.87
LTOR5_HUMAN,O43504,LAMTOR5,Ragulator complex protein LAMTOR5,0,15,7,22,bin_5,119,10,Late endosomal/lysosomal protein LAMTOR5 subunit 1,0,1.55
C11B2_HUMAN,P19099,CYP11B2,"Cytochrome P450 11B2, mitochondrial",5,15,2,22,bin_5,1844,78,11-beta-hydroxylase,0,0.3
TFDP1_HUMAN,Q14186,TFDP1,Transcription factor Dp-1,5,10,7,22,bin_5,229,1314,"DNA-binding protein 2, p107-binding protein 1",0,2.95
UD17_HUMAN,Q9HAW7,UGT1A7,UDP-glucuronosyltransferase 1A7 ,7,13,2,22,bin_5,363,161,UDP-glucuronosyltransferase 1A7,1,1.75
PAK5_HUMAN,Q9P286,PAK5,Serine/threonine-protein kinase PAK 5 ,3,12,7,22,bin_5,118,317,p21 protein (RAC1) activated kinase 5,0,8.44
DNJC3_HUMAN,Q13217,DNAJC3,DnaJ homolog subfamily C member 3,4,8,10,22,bin_5,136,26,DnaJ homolog subfamily C member 3,1,0.33
STX16_HUMAN,Q9H1T7,STX16,Syntaxin-16,3,5,14,22,bin_5,112,106,Syntaxin-16,1,4.87
DHX15_HUMAN,O43143,DHX15,ATP-dependent RNA helicase DHX15 ,7,9,6,22,bin_5,106,4,DEAH-box helicase 15,0,1.54
DMPK_HUMAN,Q09013,DMPK,Myotonin-protein kinase,5,10,7,22,bin_5,4522,781,Dystrophia myotonica-protein kinase,0,4.38
SWP70_HUMAN,Q9UH65,SWAP70,Switch-associated protein 70,5,10,7,22,bin_5,115,18,SWAP-70 protein,0,0.83
LMX1A_HUMAN,Q8TE12,LMX1A,LIM homeobox transcription factor 1-alpha,5,15,2,22,bin_5,313,36,LIM homeobox protein LMX1A,0,0.98
SYGP1_HUMAN,Q96PV0,SYNGAP1,Ras/Rap GTPase-activating protein SynGAP,2,15,5,22,bin_5,303,12,Synaptic Ras GTPase-activating protein 1,0,0.58
SYT5_HUMAN,O00445,SYT5,Synaptotagmin-5,8,4,10,22,bin_5,39,2187,Synaptotagmin-5,1,0.76
CACB2_HUMAN,Q9HD32,CACNB2,Voltage-dependent L-type calcium channel subunit beta-2,4,13,5,22,bin_5,193,29,Calcium channel voltage-dependent beta 2 subunit,0,3.0
CP2J2_HUMAN,P51589,CYP2J2,Cytochrome P450 2J2,11,7,4,22,bin_5,730,179,Arachidonic acid 15-lipoxygenase,0,1.72
TMF1_HUMAN,P82094,TMF1,TATA element modulatory factor,3,14,5,22,bin_5,39,26,"Tmf2, TATA-binding protein-associated factor 1",0,3.53
UBR2_HUMAN,Q8IWV8,UBR2,E3 ubiquitin-protein ligase UBR2,4,13,5,22,bin_5,94,63,E3 ubiquitin-protein ligase UBR2,1,4.11
CLD18_HUMAN,P56856,CLDN18,Claudin-18,2,16,4,22,bin_5,334,303,Claudin-18,1,6.61
CLD19_HUMAN,Q8N6F1,CLDN19,Claudin-19 ,2,15,5,22,bin_5,101,91,Claudin-19,1,2.22
CYB_HUMAN,Q9B2Z0,MT-CYB,Cytochrome b,3,15,4,22,bin_5,131,13532,Cytochrome b,1,0.32
ENPP3_HUMAN,O14638,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 ,8,9,5,22,bin_5,238,59,Nucleotide phosphodiesterase B,0,3.95
SFTPD_HUMAN,P35247,SFTPD,Pulmonary surfactant-associated protein D,2,12,8,22,bin_5,141,1403,Surfactant-associated protein D,0,0.41
SEP12_HUMAN,Q8IYM1,SEPTIN12,Septin-12,7,4,11,22,bin_5,29,6,Septin-12,1,1.51
SEM7A_HUMAN,O75326,SEMA7A,Semaphorin-7A,3,16,3,22,bin_5,235,142,Semaphorin-7A,1,2.29
OPN3_HUMAN,Q9H1Y3,OPN3,Opsin-3,5,13,4,22,bin_5,102,39,Opsin-3,1,1.11
ONEC2_HUMAN,O95948,ONECUT2,One cut domain family member 2,4,14,4,22,bin_5,135,50,One cut homeobox 2,0,1.84
SEM3F_HUMAN,Q13275,SEMA3F,Semaphorin-3F,2,17,3,22,bin_5,295,144,Semaphorin-3F,1,0.54
SEH1_HUMAN,Q96EE3,SEH1L,Nucleoporin SEH1 ,1,13,8,22,bin_5,17,33,SMC5-SMC6 complex localization factor protein 1,0,0.97
ANKH_HUMAN,Q9HCJ1,ANKH,Mineralization regulator ANKH ,3,15,4,22,bin_5,227,46,Mineralization regulator ANKH,1,0.54
CLIC1_HUMAN,O00299,CLIC1,Chloride intracellular channel protein 1,2,5,15,22,bin_5,299,4267,Chloride intracellular channel 1,0,3.48
SDC4_HUMAN,P31431,SDC4,Syndecan-4 ,4,11,7,22,bin_5,603,950,Sulfate proteoglycan-like 4,0,0.93
BRE1A_HUMAN,Q9NUR4,RNF20,E3 ubiquitin-protein ligase BRE1A,11,6,5,22,bin_5,173,6,"Ring finger protein 20, E3 ubiquitin protein ligase",0,9.69
CAH2_HUMAN,P00918,CA2,Carbonic anhydrase 2,4,12,6,22,bin_5,230664,4843,Carbonic anhydrase II,0,0.24
OMA1_HUMAN,Q96E52,OMA1,"Metalloendopeptidase OMA1, mitochondrial ",3,16,3,22,bin_5,202,60,Oxidative modified protein 1-responsive protein 1,0,0.53
JPH2_HUMAN,Q9BR39,JPH2,Junctophilin-2 N-terminal fragment ,10,5,7,22,bin_5,116,8,Junctional plakoglobin-2,0,3.71
TNKS2_HUMAN,Q9H2K2,TNKS2,Poly [ADP-ribose] polymerase tankyrase-2 ,5,9,8,22,bin_5,161,42,Poly(ADP-ribose) polymerase TNKS2 catalytic subunit,0,1.52
SCNNG_HUMAN,P51170,SCNN1G,Amiloride-sensitive sodium channel subunit gamma,4,12,6,22,bin_5,207,297,Sodium channel epithelial 1 subunit gamma,0,8.2
SCIMP_HUMAN,Q6UWF3,SCIMP,SLP adapter and CSK-interacting membrane protein,1,12,9,22,bin_5,28,2,SH2-domain-containing inositol-5-phosphatase SCIMP,0,1.65
MLC1_HUMAN,Q15049,MLC1,Membrane protein MLC1 ,2,6,14,22,bin_5,400,191,Light chain myosin-1,0,5.12
TESCTDSGAE,Q96K76,USP47,Ubiquitin carboxyl-terminal hydrolase 47,3,14,5,22,bin_5,67,172,Ubiquitin carboxyl-terminal hydrolase 47,1,4.14
SC5A8_HUMAN,Q8N695,SLC5A8,Sodium-coupled monocarboxylate transporter 1,6,12,4,22,bin_5,180,53,Sodium/dichloroacetate transporter,0,7.16
MLP3B_HUMAN,Q9GZQ8,MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3B ,4,7,11,22,bin_5,2100,150,Microtubule-associated protein 1A/1B light chain 3-beta,0,0.57
KANK1_HUMAN,Q14678,KANK1,KN motif and ankyrin repeat domain-containing protein 1,1,16,5,22,bin_5,132,6,Protein kinase domain-containing protein 1,0,9.81
MED17_HUMAN,Q9NVC6,MED17,Mediator of RNA polymerase II transcription subunit 17,6,9,7,22,bin_5,71,60,Mediator complex subunit 17,0,3.11
COPT1_HUMAN,O15431,SLC31A1,Truncated CTR1 form ,5,10,7,22,bin_5,401,4,Copper transporter 1,0,0.62
CADH8_HUMAN,P55286,CDH8,Cadherin-8,4,11,7,22,bin_5,105,48,Neural cadherin,0,2.13
KAT6B_HUMAN,Q8WYB5,KAT6B,Histone acetyltransferase KAT6B,9,8,5,22,bin_5,172,132,Lysine-acetylated histone 6-variant-binding protein K(b) complex subunit K(b)-associated protein 1,0,9.06
KCJ10_HUMAN,P78508,KCNJ10,ATP-sensitive inward rectifier potassium channel 10,3,12,7,22,bin_5,536,589,Potassium inwardly-rectifying channel J10,0,5.12
PIF1_HUMAN,Q9H611,PIF1,ATP-dependent DNA helicase PIF1 ,9,9,4,22,bin_5,513,261,DNA helicase PIF1,0,2.23
CEBPE_HUMAN,Q15744,CEBPE,CCAAT/enhancer-binding protein epsilon,6,11,5,22,bin_5,199,130,Chorion-specific transcription factor NF-IL6,0,6.22
EI2BE_HUMAN,Q13144,EIF2B5,Translation initiation factor eIF2B subunit epsilon,3,15,4,22,bin_5,118,77,Elongation factor 2-binding protein 5,0,2.1
MEG10_HUMAN,Q96KG7,MEGF10,Multiple epidermal growth factor-like domains protein 10 ,3,16,3,22,bin_5,110,28,Protein MEGF10,0,4.89
MDM4_HUMAN,O15151,MDM4,Protein Mdm4,3,16,3,22,bin_5,881,765,E3 ubiquitin-protein ligase MDM4,0,2.0
EGR3_HUMAN,Q06889,EGR3,Early growth response protein 3,6,13,3,22,bin_5,466,212,Zinc finger protein ZBTB8-2,0,6.42
OTX2_HUMAN,P32243,OTX2,Homeobox protein OTX2,5,13,4,22,bin_5,1159,964,Homeobox protein OTX-2,0,1.2
EHMT1_HUMAN,Q9H9B1,EHMT1,Histone-lysine N-methyltransferase EHMT1,9,9,4,22,bin_5,292,174,Euchromatic histone lysine methyltransferase 1,0,5.3
SIA8B_HUMAN,Q92186,ST8SIA2,"Alpha-2,8-sialyltransferase 8B ",3,12,7,22,bin_5,195,2,Polysialyltransferase ST8SIA2,0,2.04
ELA_HUMAN,P0DMC3,APELA,Apelin receptor early endogenous ligand ,2,18,2,22,bin_5,132,28,Adipocyte protein pleckstrin-homology domain-containing protein 1,0,2.72
SPEF1_HUMAN,Q9Y4P9,SPEF1,Sperm flagellar protein 1,2,9,12,23,bin_5,13,419,Sperm-associated antigen 11,0,5.99
SYPH_HUMAN,P08247,SYP,Synaptophysin,3,10,10,23,bin_5,1460,10622,Synaptophysin,1,2.54
CPLX2_HUMAN,Q6PUV4,CPLX2,Complexin-2,3,9,11,23,bin_5,53,50,Complexin-2,1,2.04
KLF15_HUMAN,Q9UIH9,KLF15,Krueppel-like factor 15,7,11,5,23,bin_5,427,11,Krueppel-like factor 15,1,1.82
STK25_HUMAN,O00506,STK25,Serine/threonine-protein kinase 25,6,13,4,23,bin_5,94,23536,Serine/threonine kinase 25,0,2.04
LACRT_HUMAN,Q9GZZ8,LACRT,Extracellular glycoprotein lacritin,3,17,3,23,bin_5,36,9,Lactadherin,0,0.51
FZD6_HUMAN,O60353,FZD6,Frizzled-6,4,13,6,23,bin_5,274,65,Frizzled-6,1,1.18
CRFR1_HUMAN,P34998,CRHR1,Corticotropin-releasing factor receptor 1 ,3,16,4,23,bin_5,992,1623,Corticotropin-releasing factor receptor 1,1,1.37
VATF_HUMAN,Q16864,ATP6V1F,V-type proton ATPase subunit F,3,7,13,23,bin_5,14,50,V-type proton ATPase subunit F,1,6.65
STX5_HUMAN,Q13190,STX5,Syntaxin-5,3,11,9,23,bin_5,35,3043,Syntaxin-5,1,0.93
KIF1B_HUMAN,Q9P280,KIF1B,Kinesin-like protein KIF1B ,5,9,9,23,bin_5,201,9,Kinesin-heavy chain KIF1B,0,1.64
STX8_HUMAN,Q9UNK0,STX8,Syntaxin-8,5,6,12,23,bin_5,32,3021,Vesicle transport protein Sec1 homolog 8,0,2.62
SURF4_HUMAN,O15260,SURF4,Surfeit locus protein 4 ,2,8,13,23,bin_5,85,27,Actin-binding protein surf4,0,0.88
L2GL1_HUMAN,Q15334,LLGL1,Lethal(2) giant larvae protein homolog 1,4,9,10,23,bin_5,76,12,Lethal giant larvae protein 1 homolog,0,0.83
KMT2E_HUMAN,Q86WG0,KMT2E,Inactive histone-lysine N-methyltransferase 2E ,4,7,12,23,bin_5,84,1,Lysine-specific demethylase 6,0,1.54
KI18B_HUMAN,SVSHGRSRIA,KIF18B,Kinesin-like protein KIF18B,6,6,11,23,bin_5,83,2,Kinesin-like protein KIF18B,1,2.34
SYK_HUMAN,Q15046,KARS1,Lysine--tRNA ligase,7,9,7,23,bin_5,14,557,Lysyl-tRNA synthetase,0,3.02
FUZZY_HUMAN,Q9BT04,FUZ,Protein fuzzy homolog,0,19,4,23,bin_5,77,40,Zinc finger protein Fuzzled,0,7.63
SSH1_HUMAN,Q8WYL5,SSH1,Protein phosphatase Slingshot homolog 1 ,4,11,8,23,bin_5,171,16,Dismutase domain-containing protein 1,0,4.33
STOM_HUMAN,P27105,STOM,Stomatin ,4,4,15,23,bin_5,296,385,Stomatin,1,1.02
KIF11_HUMAN,P52732,KIF11,Kinesin-like protein KIF11,5,9,9,23,bin_5,889,22,Kinesin-like protein KIF11,1,3.1
SPTA1_HUMAN,P02549,SPTA1,"Spectrin alpha chain, erythrocytic 1",3,9,11,23,bin_5,180,88,"Spectrin alpha chain, erythrocytic 1",1,1.03
KLK6_HUMAN,Q92876,KLK6,Kallikrein-6,1,11,11,23,bin_5,324,138,Kallikrein-6,1,1.37
SHGCIHHNSV,Q14145,KEAP1,Kelch-like ECH-associated protein 1 ,4,10,9,23,bin_5,6647,4531,Kelch-like ECH-associated protein 1,1,6.64
GDIA_HUMAN,P31150,GDI1,Rab GDP dissociation inhibitor alpha,4,9,10,23,bin_5,110,57,GDAP1-interacting protein 1,0,3.2
GATA5_HUMAN,Q9BWX5,GATA5,Transcription factor GATA-5,6,14,3,23,bin_5,309,197,GATA-binding protein 5,0,2.05
T2FA_HUMAN,P35269,GTF2F1,General transcription factor IIF subunit 1,9,9,5,23,bin_5,10,19,"General transcription factor II F1, polypeptide 1",0,6.43
IF140_HUMAN,Q96RY7,IFT140,Intraflagellar transport protein 140 homolog ,0,14,9,23,bin_5,116,6,Intraflagellar transport protein 140 homolog,1,1.49
TRI38_HUMAN,O00635,TRIM38,E3 ubiquitin-protein ligase TRIM38 ,5,15,3,23,bin_5,44,24,Tripartite motif-containing protein 38,0,1.34
TRI68_HUMAN,Q9NW18,TRIM68,E3 ubiquitin-protein ligase TRIM68,8,8,7,23,bin_5,17,11,E3 ubiquitin-protein ligase TRIM68,1,1.6
TRPA1_HUMAN,O75762,TRPA1,Transient receptor potential cation channel subfamily A member 1 ,5,17,1,23,bin_5,3280,2065,Ankyrin repeat domain-containing protein 1A,0,0.74
TSLP_HUMAN,Q969D9,TSLP,Thymic stromal lymphopoietin,2,19,2,23,bin_5,2424,2349,Thymic stromal lymphopoietin,1,0.72
TSP4_HUMAN,PNQSDVDNDL,THBS4,Thrombospondin-4,4,12,7,23,bin_5,171,228,Thrombospondin-4,1,7.72
CNGA3_HUMAN,Q16281,CNGA3,Cyclic nucleotide-gated channel alpha-3,9,7,7,23,bin_5,311,17,Cyclic nucleotide-gated channel protein 3 alpha,0,5.23
