ID,AC,gene_symbol,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,gene_id,gene_name,Bin2,predicted_gene_name,pmatch
QFYFSNTFDL,P56715,RP1,Oxygen-regulated protein 1,1,12,7,20,bin_5,Oxygen-regulated protein 1,HYOU1,0,7325,754,3741,RP1,HGNC:10263,RP1 axonemal microtubule associated,4,prostaglandin-endoperoxide synthase 2,0
MCM2_HUMAN,P49736,MCM2,DNA replication licensing factor MCM2 ,9,10,8,27,bin_5,DNA replication licensing factor MCM2,MCM2,1,8712,663,2693,MCM2,HGNC:6944,minichromosome maintenance complex component 2,4,lysosomal associated membrane protein 1,0
GNAS2_HUMAN,Q5JWD5,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,6,14,7,27,bin_5,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,GNAS,1,8543,673,8417,GNAS,HGNC:4392,GNAS complex locus,4,fibroblast growth factor receptor 2,0
GATA6_HUMAN,Q92908,GATA6,Transcription factor GATA-6,11,55,5,71,bin_5,Transcription factor GATA-6,GATA6,1,9153,640,8003,GATA6,HGNC:4174,GATA binding protein 6,4,fibroblast growth factor receptor 1,0
PERF_HUMAN,P14222,PRF1,Perforin-1,4,14,8,26,bin_5,Perforin-1,PRF1,1,7240,758,37560,PRF1,HGNC:9360,perforin 1,4,prostaglandin-endoperoxide synthase 2,0
KLF5_HUMAN,Q13887,KLF5,Krueppel-like factor 5,6,15,5,26,bin_5,Krueppel-like factor 5,KLF5,1,7204,762,125,KLF5,HGNC:6349,KLF transcription factor 5,4,interleukin 6,0
PLF4_HUMAN,P02776,PF4,"Platelet factor 4, short form",4,22,5,31,bin_5,Platelet factor 4,PF4,1,8698,664,2410,PF4,HGNC:8861,platelet factor 4,4,prostaglandin-endoperoxide synthase 2,0
PBX1_HUMAN,P40424,PBX1,Pre-B-cell leukemia transcription factor 1,10,27,5,42,bin_5,Pre-B-cell leukemia transcription factor 1,PBX1,1,6273,858,415,PBX1,HGNC:8632,PBX homeobox 1,5,mitogen-activated protein kinase 1,0
HEY1_HUMAN,Q9Y5J3,HEY1,Hairy/enhancer-of-split related with YRPW motif protein 1,8,28,4,40,bin_5,Hairy/enhancer-of-split related with YRPW motif protein 1,HEY1,1,5724,919,651,HEY1,HGNC:4880,hes related family bHLH transcription factor with YRPW motif 1,5,interleukin 2,0
BIN1_HUMAN,O75515,BIN1,Myc box-dependent-interacting protein 1,10,22,23,55,bin_5,Myc box-dependent-interacting protein 1,BIN1,1,6011,889,103,BIN1,HGNC:1052,bridging integrator 1,5,catenin beta 1,0
HS71A_HUMAN,P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A ,23,35,21,79,bin_5,Heat shock 70 kDa protein 1A,HSPA1A,1,5442,963,7716,HSPA1A,HGNC:5232,heat shock protein family A (Hsp70) member 1A,5,interleukin 6,0
XRP2_HUMAN,O75695,RP2,Protein XRP2,4,5,11,20,bin_5,protein,RP2,1,6357,849,43,RP2,HGNC:10274,RP2 activator of ARL3 GTPase,5,prostaglandin-endoperoxide synthase 2,0
CSF2_HUMAN,P04141,CSF2,Granulocyte-macrophage colony-stimulating factor,3,28,5,36,bin_5,Granulocyte-macrophage colony-stimulating factor,CSF2,1,6224,868,82892,CSF2,HGNC:2434,colony stimulating factor 2,5,epidermal growth factor receptor,0
HNF1A_HUMAN,Q99861,HNF1A,Hepatocyte nuclear factor 1-alpha,9,10,4,23,bin_5,Hepatocyte nuclear factor 1-alpha,HNF1A,1,6136,875,7485,HNF1A,HGNC:11621,HNF1 homeobox A,5,prostaglandin-endoperoxide synthase 2,0
SNP25_HUMAN,Q5U0B5,SNAP25,Synaptosomal-associated protein 25,8,21,31,60,bin_5,Synaptosomal-associated protein 25,SNAP25,1,6716,805,2314,SNAP25,HGNC:11132,synaptosome associated protein 25,5,ret proto-oncogene,0
NOS1_HUMAN,P29475,NOS1,Nitric oxide synthase 1 ,14,33,17,64,bin_5,Nitric oxide synthase 1,NOS1,1,6364,848,206864,NOS1,HGNC:7872,nitric oxide synthase 1,5,prostaglandin-endoperoxide synthase 2,0
BARD1_HUMAN,Q99728,BARD1,BRCA1-associated RING domain protein 1,6,19,11,36,bin_5,BRCA1-associated RING domain protein 1,BARD1,1,6563,822,1779,BARD1,HGNC:952,BRCA1 associated RING domain 1,5,cyclin dependent kinase inhibitor 1A,0
1433Z_HUMAN,Q6NUR9,YWHAZ,14-3-3 protein zeta/delta,10,21,12,43,bin_5,14-3-3 protein zeta/delta,YWHAZ,1,5999,891,803,YWHAZ,HGNC:12855,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,5,ret proto-oncogene,0
DRD4_HUMAN,P21917,DRD4,D(4) dopamine receptor,12,27,6,45,bin_5,D(4) dopamine receptor,DRD4,1,5291,978,157906,DRD4,HGNC:3025,dopamine receptor D4,5,epidermal growth factor receptor,0
CDK7_HUMAN,P50613,CDK7,Cyclin-dependent kinase 7,7,9,13,29,bin_5,Cyclin-dependent kinase 7,CDK7,1,6223,869,171769,CDK7,HGNC:1778,cyclin dependent kinase 7,5,cytochrome P450 family 2 subfamily C member 19,0
LATS2_HUMAN,Q9NRM7,LATS2,Serine/threonine-protein kinase LATS2,4,17,5,26,bin_5,Serine/threonine-protein kinase LATS2,LATS2,1,5607,934,295,LATS2,HGNC:6515,large tumor suppressor kinase 2,5,interleukin 6,0
ALKB5_HUMAN,Q6P6C2,ALKBH5,RNA demethylase ALKBH5 ,6,11,6,23,bin_5,RNA demethylase ALKBH5,ALKBH5,1,6249,860,4320,ALKBH5,HGNC:25996,"alkB homolog 5, RNA demethylase",5,serine/threonine kinase 11,0
TGFB2_HUMAN,P61812,TGFB2,Transforming growth factor beta-2,8,91,6,105,bin_5,Transforming growth factor beta-2,TGFB2,1,6736,802,30188,TGFB2,HGNC:11768,transforming growth factor beta 2,5,ret proto-oncogene,0
DLL1_HUMAN,O00548,DLL1,Delta-like protein 1 ,5,65,6,76,bin_5,Delta-like protein 1,DLL1,1,6646,811,2071,DLL1,HGNC:2908,delta like canonical Notch ligand 1,5,epidermal growth factor receptor,0
HMR1_HUMAN,Q9TQB3,MR1,Major histocompatibility complex class I-related gene protein,3,8,9,20,bin_5,Major histocompatibility complex class I-related gene protein,MR1,1,5616,933,3124,MR1,HGNC:4975,"major histocompatibility complex, class I-related",5,interleukin 6,0
CHK1_HUMAN,O14757,CHEK1,Serine/threonine-protein kinase Chk1,6,27,11,44,bin_5,Serine/threonine-protein kinase Chk1,CHEK1,1,5633,930,1469,CHEK1,HGNC:1925,checkpoint kinase 1,5,cytochrome P450 family 2 subfamily C member 19,0
SCN1A_HUMAN,KPIVEKHEQE,SCN1A,Sodium channel protein type 1 subunit alpha,2,12,10,24,bin_5,Sodium channel protein type 1 subunit alpha,SCN1A,1,5528,949,84925,SCN1A,HGNC:10585,sodium voltage-gated channel alpha subunit 1,5,prostaglandin-endoperoxide synthase 2,0
MFF_HUMAN,Q9GZY8,MFF,Mitochondrial fission factor,2,12,6,20,bin_5,Mitochondrial fission factor,MFF,1,5624,931,191898,MFF,HGNC:24858,mitochondrial fission factor,5,serine/threonine kinase 11,0
DQA1_HUMAN,Q6ICU6,HLA-DQA1,"HLA class II histocompatibility antigen, DQ alpha 1 chain",3,6,12,21,bin_5,"HLA class II histocompatibility antigen, DQ alpha 1 chain",HLA-DQA1,1,6119,878,3831,HLA-DQA1,HGNC:4942,"major histocompatibility complex, class II, DQ alpha 1",5,interleukin 2,0
RPE65_HUMAN,Q16518,RPE65,Retinoid isomerohydrolase ,9,9,5,23,bin_5,Retinoid isomerohydrolase,RPE65,1,6591,817,485,RPE65,HGNC:10294,retinoid isomerohydrolase RPE65,5,prostaglandin-endoperoxide synthase 2,0
IL23R_HUMAN,Q8IW84,IL23R,Interleukin-23 receptor,2,25,4,31,bin_5,Interleukin-23 receptor,IL23R,1,5504,952,11293,IL23R,HGNC:19100,interleukin 23 receptor,5,sodium channel epithelial 1 subunit beta,0
PKHD1_HUMAN,P08F94,PKHD1,Fibrocystin ,1,24,14,39,bin_5,Fibrocystin,PKHD1,1,6245,861,877,PKHD1,HGNC:9016,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,5,prostaglandin-endoperoxide synthase 2,0
IL2RG_HUMAN,P31785,IL2RG,Cytokine receptor common subunit gamma,5,18,9,32,bin_5,Cytokine receptor common subunit gamma,IL2RG,1,6195,871,71760,IL2RG,HGNC:6010,interleukin 2 receptor subunit gamma,5,interleukin 2,0
TBX5_HUMAN,Q99593,TBX5,T-box transcription factor TBX5,7,39,7,53,bin_5,T-box transcription factor TBX5,TBX5,1,6433,838,2348,TBX5,HGNC:11604,T-box transcription factor 5,5,ret proto-oncogene,0
IFIH1_HUMAN,Q9BYX4,IFIH1,Interferon-induced helicase C domain-containing protein 1 ,11,19,4,34,bin_5,Interferon-induced helicase C domain-containing protein 1,IFIH1,1,5482,956,1749,IFIH1,HGNC:18873,interferon induced with helicase C domain 1,5,prostaglandin-endoperoxide synthase 2,0
SIX1_HUMAN,Q15475,SIX1,Homeobox protein SIX1,10,61,6,77,bin_5,Homeobox protein SIX1,SIX1,1,5471,960,2340,SIX1,HGNC:10887,SIX homeobox 1,5,ret proto-oncogene,0
ELK1_HUMAN,P19419,ELK1,ETS domain-containing protein Elk-1,9,12,7,28,bin_5,ETS domain-containing protein Elk-1,ELK1,1,6242,862,487,ELK1,HGNC:3321,ETS transcription factor ELK1,5,epidermal growth factor receptor,0
NDRG1_HUMAN,Q92597,NDRG1,Protein NDRG1,4,7,11,22,bin_5,Protein NDRG1,NDRG1,1,4828,1056,4742,NDRG1,HGNC:7679,N-myc downstream regulated 1,6,mitogen-activated protein kinase 1,0
MLP3B_HUMAN,Q9GZQ8,MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3B ,4,7,11,22,bin_5,Microtubule-associated proteins 1A/1B light chain 3B,MAP1LC3B,1,4525,1117,1202,MAP1LC3B,HGNC:13352,microtubule associated protein 1 light chain 3 beta,6,ret proto-oncogene,0
HDAC9_HUMAN,O94845,HDAC9,Histone deacetylase 9,11,16,6,33,bin_5,Histone deacetylase 9,HDAC9,1,4681,1087,106946,HDAC9,HGNC:14065,histone deacetylase 9,6,prostaglandin-endoperoxide synthase 2,0
ATS5_HUMAN,Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5,9,9,5,23,bin_5,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS5,1,4230,1161,5269,ADAMTS5,HGNC:221,ADAM metallopeptidase with thrombospondin type 1 motif 5,6,adenosine deaminase,0
MYOG_HUMAN,P15173,MYOG,Myogenin,11,22,5,38,bin_5,Myogenin,MYOG,1,4876,1047,14084,MYOG,HGNC:7612,myogenin,6,mitogen-activated protein kinase 1,0
HRG_HUMAN,P04196,HRG,Histidine-rich glycoprotein,9,27,7,43,bin_5,Histidine-rich glycoprotein,HRG,1,4779,1066,2554,HRG,HGNC:5181,histidine rich glycoprotein,6,interleukin 2,0
DHH_HUMAN,O43323,DHH,Desert hedgehog protein N-product,5,15,4,24,bin_5,Desert hedgehog protein N-product,DHH,1,4742,1073,3,DHH,HGNC:2865,desert hedgehog signaling molecule,6,epidermal growth factor receptor,0
FOXC2_HUMAN,Q99958,FOXC2,Forkhead box protein C2,11,40,4,55,bin_5,Forkhead box protein C2,FOXC2,1,5161,1003,4310,FOXC2,HGNC:3801,forkhead box C2,6,fibroblast growth factor receptor 2,0
ETS2_HUMAN,P15036,ETS2,Protein C-ets-2,9,7,5,21,bin_5,Protein C-ets-2,ETS2,1,4878,1046,578,ETS2,HGNC:3489,"ETS proto-oncogene 2, transcription factor",6,epidermal growth factor receptor,0
IF16_HUMAN,Q5T3X2,IFI16,Gamma-interferon-inducible protein 16 ,4,25,7,36,bin_5,Gamma-interferon-inducible protein 16,IFI16,1,5071,1020,932,IFI16,HGNC:5395,interferon gamma inducible protein 16,6,interleukin 6,0
GNAQ_HUMAN,P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,6,13,9,28,bin_5,Guanine nucleotide-binding protein G(q) subunit alpha,GNAQ,1,4639,1089,14198,GNAQ,HGNC:4390,G protein subunit alpha q,6,forkhead box P3,0
K2C8_HUMAN,Q6GMY0,KRT8,"Keratin, type II cytoskeletal 8",2,7,15,24,bin_5,"Keratin, type II cytoskeletal 8",KRT8,1,4148,1176,10348,KRT8,HGNC:6446,keratin 8,6,interleukin 6,0
BIRC3_HUMAN,Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3,6,19,5,30,bin_5,Baculoviral IAP repeat-containing protein 3,BIRC3,1,4778,1067,303,BIRC3,HGNC:591,baculoviral IAP repeat containing 3,6,albumin,0
ATF1_HUMAN,P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1,7,8,6,21,bin_5,Cyclic AMP-dependent transcription factor ATF-1,ATF1,1,4423,1132,152,ATF1,HGNC:783,activating transcription factor 1,6,albumin,0
MIB1_HUMAN,Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1,3,12,5,20,bin_5,E3 ubiquitin-protein ligase MIB1,MIB1,1,4821,1058,738,MIB1,HGNC:21086,MIB E3 ubiquitin protein ligase 1,6,angiotensin converting enzyme 2,0
MSX2_HUMAN,P35548,MSX2,Homeobox protein MSX-2,7,36,5,48,bin_5,Homeobox protein MSX-2,MSX2,1,5180,1000,379,MSX2,HGNC:7392,msh homeobox 2,6,mitogen-activated protein kinase 1,0
YBOX1_HUMAN,P67809,YBX1,Y-box-binding protein 1 ,11,22,16,49,bin_5,Y-box-binding protein 1,YBX1,1,5129,1009,3195,YBX1,HGNC:8014,Y-box binding protein 1,6,mitogen-activated protein kinase 1,0
MFNNACTYNE,Q9H2T5,PBRM1,Protein polybromo-1,2,13,8,23,bin_5,protein polybromo-1,PBRM1,1,4434,1131,674,PBRM1,HGNC:30064,polybromo 1,6,"serine peptidase inhibitor, Kazal type 6",0
SAMH1_HUMAN,Q9Y3Z3,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 ,11,13,5,29,bin_5,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,SAMHD1,1,4456,1128,774,SAMHD1,HGNC:15925,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,6,solute carrier family 22 member 4,0
APOC3_HUMAN,P02656,APOC3,Apolipoprotein C-III,5,24,9,38,bin_5,Apolipoprotein C-III,APOC3,1,4270,1147,3895,APOC3,HGNC:610,apolipoprotein C3,6,catenin beta 1,0
CCN1_HUMAN,O00622,CCN1,CCN family member 1 ,4,30,3,37,bin_5,CCN family member 1,CYR61,0,4448,1129,5131,CCN1,HGNC:2654,cellular communication network factor 1,6,epidermal growth factor receptor,0
BATF_HUMAN,Q16520,BATF,Basic leucine zipper transcriptional factor ATF-like,6,14,5,25,bin_5,Basic leucine zipper transcriptional factor ATF-like,BATF,1,4722,1076,1041,BATF,HGNC:958,basic leucine zipper ATF-like transcription factor,6,cyclin dependent kinase inhibitor 1A,0
PLPL3_HUMAN,Q9NST1,PNPLA3,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 ,10,13,4,27,bin_5,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3,PNPLA3,1,5090,1015,75,PNPLA3,HGNC:18590,"patatin like domain 3, 1-acylglycerol-3-phosphate O-acyltransferase ",6,prostaglandin-endoperoxide synthase 2,0
SMN_HUMAN,Q16637,SMN2,Survival motor neuron protein,2,4,14,20,bin_5,Survival motor neuron protein,SMN1,0,4267,1150,124960,SMN2,HGNC:11118,"survival of motor neuron 2, centromeric",6,ret proto-oncogene,0
CH3L1_HUMAN,P36222,CHI3L1,Chitinase-3-like protein 1,3,17,8,28,bin_5,Chitinase-3-like protein 1,CHI3L1,1,4818,1059,2311,CHI3L1,HGNC:1932,chitinase 3 like 1,6,cyclin dependent kinase 4,0
KCNH2_HUMAN,Q9H3P0,KCNH2,Potassium voltage-gated channel subfamily H member 2,11,24,3,38,bin_5,Potassium voltage-gated channel subfamily H member 2,KCNH2,1,4753,1069,5385,KCNH2,HGNC:6251,potassium voltage-gated channel subfamily H member 2,6,interleukin 6,0
TIRAP_HUMAN,P58753,TIRAP,Toll/interleukin-1 receptor domain-containing adapter protein,8,31,7,46,bin_5,Toll/interleukin-1 receptor domain-containing adapter protein,TIRAP,1,4942,1036,1256,TIRAP,HGNC:17192,TIR domain containing adaptor protein,6,prostaglandin-endoperoxide synthase 2,0
VLDLR_HUMAN,P98155,VLDLR,Very low-density lipoprotein receptor,8,12,6,26,bin_5,Very low-density lipoprotein receptor,VLDLR,1,4253,1154,170404,VLDLR,HGNC:12698,very low density lipoprotein receptor,6,ret proto-oncogene,0
TRI25_HUMAN,Q14258,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,8,19,5,32,bin_5,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,1,4245,1158,54,TRIM25,HGNC:12932,tripartite motif containing 25,6,prostaglandin-endoperoxide synthase 2,0
UCP3_HUMAN,P55916,UCP3,Putative mitochondrial transporter UCP3 ,2,16,2,20,bin_5,Putative mitochondrial transporter UCP3,UCP3,1,4810,1060,806,UCP3,HGNC:12519,uncoupling protein 3,6,ret proto-oncogene,0
GPNMB_HUMAN,Q14956,GPNMB,Transmembrane glycoprotein NMB,5,16,4,25,bin_5,Transmembrane glycoprotein NMB,GPNMB,1,3762,1254,861,GPNMB,HGNC:4462,glycoprotein nmb,7,interleukin 6,0
CSF3_HUMAN,P09919,CSF3,Granulocyte colony-stimulating factor,4,14,4,22,bin_5,Granulocyte colony-stimulating factor,CSF3,1,3509,1315,109832,CSF3,HGNC:2438,colony stimulating factor 3,7,epidermal growth factor receptor,0
RAB5A_HUMAN,P20339,RAB5A,Ras-related protein Rab-5A,4,16,28,48,bin_5,Ras-related protein Rab-5A,RAB5A,1,3621,1285,132,RAB5A,HGNC:9783,"RAB5A, member RAS oncogene family",7,prostaglandin-endoperoxide synthase 2,0
LYAM2_HUMAN,P16581,SELE,E-selectin,5,16,8,29,bin_5,E-selectin,SELE,1,3402,1359,28347,SELE,HGNC:10718,selectin E,7,prostaglandin-endoperoxide synthase 2,0
SDC1_HUMAN,P18827,SDC1,Syndecan-1 ,2,14,7,23,bin_5,Syndecan-1,SDC1,1,3801,1245,9906,SDC1,HGNC:10658,syndecan 1,7,prostaglandin-endoperoxide synthase 2,0
EDNRB_HUMAN,Q8NHM9,EDNRB,Endothelin receptor type B ,3,52,2,57,bin_5,Endothelin receptor type B,EDNRB,1,3720,1264,50194,EDNRB,HGNC:3180,endothelin receptor type B,7,epidermal growth factor receptor,0
CCND3_HUMAN,P30281,CCND3,G1/S-specific cyclin-D3 ,4,9,8,21,bin_5,G1/S-specific cyclin-D3,CCND3,1,3697,1271,98,CCND3,HGNC:1585,cyclin D3,7,cytochrome b-245 beta chain,0
KPCA_HUMAN,P17252,PRKCA,Protein kinase C alpha type,10,29,11,50,bin_5,protein,PRKCA,1,4021,1201,12188,PRKCA,HGNC:9393,protein kinase C alpha,7,prostaglandin-endoperoxide synthase 2,0
ACSL1_HUMAN,P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1 ,7,14,6,27,bin_5,Long-chain-fatty-acid--CoA ligase 1,ACSL1,1,3802,1244,1617,ACSL1,HGNC:3569,acyl-CoA synthetase long chain family member 1,7,epidermal growth factor receptor,0
NMDE1_HUMAN,Q12879,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A ",5,34,13,52,bin_5,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,1,3908,1218,4070,GRIN2A,HGNC:4585,glutamate ionotropic receptor NMDA type subunit 2A,7,interleukin 6,0
HEY2_HUMAN,Q9UBP5,HEY2,Hairy/enhancer-of-split related with YRPW motif protein 2,11,58,5,74,bin_5,Hairy/enhancer-of-split related with YRPW motif protein 2,HEY2,1,3612,1287,647,HEY2,HGNC:4881,hes related family bHLH transcription factor with YRPW motif 2,7,fibroblast growth factor receptor 1,0
TNR1B_HUMAN,P20333,TNFRSF1B,Tumor necrosis factor-binding protein 2,3,23,9,35,bin_5,Tumor necrosis factor-binding protein 2,TNFRSF1B,1,3357,1374,19234,TNFRSF1B,HGNC:11917,TNF receptor superfamily member 1B,7,ret proto-oncogene,0
HIPK2_HUMAN,Q9H2X6,HIPK2,Homeodomain-interacting protein kinase 2,10,43,7,60,bin_5,Homeodomain-interacting protein kinase 2,HIPK2,1,3718,1265,2386,HIPK2,HGNC:14402,homeodomain interacting protein kinase 2,7,ret proto-oncogene,0
SYT1_HUMAN,P21579,SYT1,Synaptotagmin-1 ,14,20,20,54,bin_5,Synaptotagmin-1,SYT1,1,3478,1330,5826,SYT1,HGNC:11509,synaptotagmin 1,7,ret proto-oncogene,0
FOSL1_HUMAN,P15407,FOSL1,Fos-related antigen 1,6,29,5,40,bin_5,Fos-related antigen 1,FOSL1,1,3753,1256,853,FOSL1,HGNC:13718,"FOS like 1, AP-1 transcription factor subunit",7,prostaglandin-endoperoxide synthase 2,0
AAAT_HUMAN,Q9BWQ3,SLC1A5,Neutral amino acid transporter B(0),11,9,5,25,bin_5,Neutral amino acid transporter B(0),SLC6A19,0,4034,1198,120928,SLC1A5,HGNC:10943,solute carrier family 1 member 5,7,prostaglandin-endoperoxide synthase 2,0
ATP7A_HUMAN,Q04656,ATP7A,Copper-transporting ATPase 1,11,59,24,94,bin_5,Copper-transporting ATPase 1,ATP7A,1,3981,1207,1697,ATP7A,HGNC:869,ATPase copper transporting alpha,7,catenin beta 1,0
LHX2_HUMAN,P50458,LHX2,LIM/homeobox protein Lhx2,6,17,2,25,bin_5,LIM/homeobox protein Lhx2,LHX2,1,3479,1329,47,LHX2,HGNC:6594,LIM homeobox 2,7,lysosomal associated membrane protein 1,0
P2RX7_HUMAN,Q4VKI0,P2RX7,P2X purinoceptor 7,6,75,11,92,bin_5,P2X purinoceptor 7,P2RX7,1,3482,1326,9738,P2RX7,HGNC:8537,purinergic receptor P2X 7,7,prostaglandin-endoperoxide synthase 2,0
ARI1B_HUMAN,Q8NFD5,ARID1B,AT-rich interactive domain-containing protein 1B ,2,15,9,26,bin_5,AT-rich interactive domain-containing protein 1B,ARID1B,1,3429,1345,447,ARID1B,HGNC:18040,AT-rich interaction domain 1B,7,prostaglandin-endoperoxide synthase 2,0
EMX1_HUMAN,Q04741,EMX1,Homeobox protein EMX1 ,3,15,5,23,bin_5,Homeobox protein EMX1,EMX1,1,3482,1327,1026,EMX1,HGNC:3340,empty spiracles homeobox 1,7,epidermal growth factor receptor,0
UVRAG_HUMAN,Q9P2Y5,UVRAG,UV radiation resistance-associated gene protein,2,18,14,34,bin_5,UV radiation resistance-associated gene protein,UVRAG,1,3682,1274,2004,UVRAG,HGNC:12640,UV radiation resistance associated,7,ret proto-oncogene,0
TAP2_HUMAN,Q03519,TAP2,Antigen peptide transporter 2,9,11,8,28,bin_5,Antigen peptide transporter 2,TAP2,1,3937,1213,189,TAP2,HGNC:44,"transporter 2, ATP binding cassette subfamily B member",7,actin alpha cardiac muscle 1,0
MK_HUMAN,P21741,MDK,Midkine ,4,58,1,63,bin_5,Midkine,MDK,1,3425,1348,4115,MDK,HGNC:6972,midkine,7,mitogen-activated protein kinase 1,0
FOXL2_HUMAN,P58012,FOXL2,Forkhead box protein L2,9,19,4,32,bin_5,Forkhead box protein L2,FOXL2,1,3738,1257,2905,FOXL2,HGNC:1092,forkhead box L2,7,BRCA1 DNA repair associated,0
HBEGF_HUMAN,Q99075,HBEGF,Heparin-binding EGF-like growth factor,5,17,6,28,bin_5,Heparin-binding EGF-like growth factor,HBEGF,1,3713,1267,18206,HBEGF,HGNC:3059,heparin binding EGF like growth factor,7,epidermal growth factor receptor,0
HDAC7_HUMAN,Q9BR73,HDAC7,Histone deacetylase 7,10,10,4,24,bin_5,Histone deacetylase 7,HDAC7,1,3849,1234,121680,HDAC7,HGNC:14067,histone deacetylase 7,7,prostaglandin-endoperoxide synthase 2,0
KCNJ2_HUMAN,AAFLFSIETQ,KCNJ2,Inward rectifier potassium channel 2,4,20,9,33,bin_5,Inward rectifier potassium channel 2,KCNJ2,1,3419,1352,155,KCNJ2,HGNC:6263,potassium inwardly rectifying channel subfamily J member 2,7,interleukin 6,0
NRX1A_HUMAN,Q9H3M2,NRXN1,Neurexin-1,6,19,9,34,bin_5,Neurexin-1,NRXN1,1,3409,1356,1723,NRXN1,HGNC:8008,neurexin 1,7,neurofibromin 1,0
HXA11_HUMAN,P31270,HOXA11,Homeobox protein Hox-A11,3,28,5,36,bin_5,Homeobox protein Hox-A11,HOXA11,1,3733,1258,323,HOXA11,HGNC:5101,homeobox A11,7,interleukin 2,0
CATC_HUMAN,Q7Z5U7,CTSC,Dipeptidyl peptidase 1 light chain,9,9,13,31,bin_5,Dipeptidyl peptidase 1 light chain,CTSC,1,3125,1452,6873,CTSC,HGNC:2528,cathepsin C,8,epidermal growth factor receptor,0
USF1_HUMAN,P22415,USF1,Upstream stimulatory factor 1,12,12,5,29,bin_5,Upstream stimulatory factor 1,USF1,1,2965,1513,34413,USF1,HGNC:12593,upstream transcription factor 1,8,ret proto-oncogene,0
RB27B_HUMAN,O00194,RAB27B,Ras-related protein Rab-27B,6,5,15,26,bin_5,Ras-related protein Rab-27B,RAB27B,1,3068,1483,65,RAB27B,HGNC:9767,"RAB27B, member RAS oncogene family",8,ret proto-oncogene,0
GIT1_HUMAN,Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,5,18,12,35,bin_5,ARF GTPase-activating protein GIT1,GIT1,1,2845,1557,421,GIT1,HGNC:4272,GIT ArfGAP 1,8,glutamate ionotropic receptor NMDA type subunit 2B,0
BMP1_HUMAN,Q99423,BMP1,Bone morphogenetic protein 1,9,9,4,22,bin_5,Bone morphogenetic protein 1,BMP1,1,3163,1443,1646,BMP1,HGNC:1067,bone morphogenetic protein 1,8,catenin beta 1,0
BBC3_HUMAN,Q9BXH1,BBC3,"Bcl-2-binding component 3, isoforms 1/2",0,25,3,28,bin_5,"Bcl-2-binding component 3, isoforms 1/2",BBC3,1,3106,1462,27,BBC3,HGNC:17868,BCL2 binding component 3,8,serine/threonine kinase 11,0
APOC1_HUMAN,P02654,APOC1,Truncated apolipoprotein C-I,5,20,5,30,bin_5,Truncated apolipoprotein C-I,APOC1,1,3099,1469,383,APOC1,HGNC:607,apolipoprotein C1,8,angiotensinogen,0
CSPG4_HUMAN,Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4,2,9,12,23,bin_5,Chondroitin sulfate proteoglycan 4,CSPG4,1,3288,1399,1646,CSPG4,HGNC:2466,chondroitin sulfate proteoglycan 4,8,epidermal growth factor receptor,0
TRPC5_HUMAN,Q9UL62,TRPC5,Short transient receptor potential channel 5,7,14,6,27,bin_5,Short transient receptor potential channel 5,TRPC5,1,3166,1442,94449,TRPC5,HGNC:12337,transient receptor potential cation channel subfamily C member 5,8,ret proto-oncogene,0
NSD1_HUMAN,Q96L73,NSD1,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",14,6,3,23,bin_5,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",SETD2,0,3223,1416,915,NSD1,HGNC:14234,nuclear receptor binding SET domain protein 1,8,ret proto-oncogene,0
VMLQPFDYDP,O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C ,7,16,5,28,bin_5,Vesicle-associated membrane protein-associated protein B/C,VAPB,1,3065,1485,651,VAPB,HGNC:12649,VAMP associated protein B and C,8,ret proto-oncogene,0
