ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,HGNC_id,HGNC_name,Bin,predicted_hgnc_term,term_match_result
SF3B1_HUMAN,O75533,SF3B1,Splicing factor 3B subunit 1,3,9,13,25,bin_5,Splicing factor 3B subunit 1,SF3B1,1,7982,712,7991,SF3B1,HGNC:10768,splicing factor 3b subunit 1,4,solute carrier family 25 member 18,0
NKX25_HUMAN,P52952,NKX2-5,Homeobox protein Nkx-2.5,12,65,9,86,bin_5,Homeobox protein Nkx-2.5,NKX2-5,1,9208,637,781,NKX2-5,HGNC:2488,NK2 homeobox 5,4,apolipoprotein A1,0
GLI2_HUMAN,P10070,GLI2,Zinc finger protein GLI2 ,7,37,8,52,bin_5,Zinc finger protein GLI2,GLI2,1,9570,614,3231,GLI2,HGNC:4318,GLI family zinc finger 2,4,apolipoprotein E,0
PTN_HUMAN,P21246,PTN,Pleiotrophin ,8,34,6,48,bin_5,Pleiotrophin,PTN,1,5776,912,4262,PTN,HGNC:9630,pleiotrophin,5,solute carrier family 25 member 18,0
PRIO_HUMAN,Q9UP19,PRNP,Major prion protein,20,39,16,75,bin_5,Major prion protein,PRNP,1,5730,917,46192,PRNP,HGNC:9449,prion protein (Kanno blood group),5,solute carrier family 25 member 18,0
HXK4_HUMAN,P35557,GCK,Hexokinase-4 ,6,19,3,28,bin_5,Hexokinase-4,GCK,1,6228,866,264,GCK,HGNC:4195,glucokinase,5,solute carrier family 25 member 18,0
KMT2A_HUMAN,Q9UD94,KMT2A,MLL cleavage product C180,11,24,5,40,bin_5,MLL cleavage product C180,KMT2A,1,6014,888,6,KMT2A,HGNC:7132,lysine methyltransferase 2A,5,solute carrier family 25 member 18,0
ITAM_HUMAN,P11215,ITGAM,Integrin alpha-M,6,28,10,44,bin_5,Integrin alpha-M,ITGAM,1,6678,808,68272,ITGAM,HGNC:6149,integrin subunit alpha M,5,solute carrier family 25 member 18,0
PTN22_HUMAN,Q8WVM1,PTPN22,Tyrosine-protein phosphatase non-receptor type 22,6,31,5,42,bin_5,Tyrosine-protein phosphatase non-receptor type 22,PTPN22,1,5730,918,49427,PTPN22,HGNC:9652,protein tyrosine phosphatase non-receptor type 22,5,solute carrier family 25 member 18,0
NUP98_HUMAN,Q9Y6J5,NUP98,Nuclear pore complex protein Nup96,8,11,11,30,bin_5,Nuclear pore complex protein Nup96,NUP98,1,5248,986,554,NUP98,HGNC:8068,nucleoporin 98 and 96 precursor,5,solute carrier family 25 member 18,0
SPI1_HUMAN,P17947,SPI1,Transcription factor PU.1 ,17,28,4,49,bin_5,Transcription factor PU.1,SPI1,1,6756,798,3916,SPI1,HGNC:11241,Spi-1 proto-oncogene,5,solute carrier family 25 member 18,0
WNT11_HUMAN,O96014,WNT11,Protein Wnt-11,4,53,4,61,bin_5,Protein Wnt-11,WNT11,1,5425,964,959,WNT11,HGNC:12776,Wnt family member 11,5,solute carrier family 25 member 18,0
EPHA4_HUMAN,P54764,EPHA4,Ephrin type-A receptor 4,12,43,19,74,bin_5,Ephrin type-A receptor 4,EPHA4,1,5395,968,9613,EPHA4,HGNC:3388,EPH receptor A4,5,solute carrier family 25 member 18,0
WNT3_HUMAN,P56703,WNT3,Proto-oncogene Wnt-3,4,27,9,40,bin_5,Proto-oncogene Wnt-3,WNT3,1,5934,897,135,WNT3,HGNC:12782,Wnt family member 3,5,solute carrier family 25 member 18,0
ANXA1_HUMAN,P04083,ANXA1,Annexin Ac2-26 ,9,37,23,69,bin_5,Annexin A1,ANXA1,1,5816,907,513,ANXA1,HGNC:533,annexin A1,5,apolipoprotein E,0
HS90A_HUMAN,P07900,HSP90AA1,Heat shock protein HSP 90-alpha ,27,40,27,94,bin_5,Heat shock protein HSP 90-alpha,HSP90AA1,1,5491,954,1071,HSP90AA1,HGNC:5253,heat shock protein 90 alpha family class A member 1,5,solute carrier family 25 member 18,0
CCL8_HUMAN,P80075,CCL8,MCP-2(6-76),6,17,1,24,bin_5,MCP-2(6-76),CCL8,1,6656,809,24,CCL8,HGNC:10635,C-C motif chemokine ligand 8,5,solute carrier family 25 member 18,0
TOP1_HUMAN,P11387,TOP1,DNA topoisomerase 1,12,12,8,32,bin_5,DNA topoisomerase 1,TOP1,1,5849,904,64896,TOP1,HGNC:11986,DNA topoisomerase I,5,solute carrier family 25 member 18,0
BMR1A_HUMAN,P36894,BMPR1A,Bone morphogenetic protein receptor type-1A,9,67,7,83,bin_5,Bone morphogenetic protein receptor type-1A,BMPR1A,1,5562,943,815,BMPR1A,HGNC:1076,bone morphogenetic protein receptor type 1A,5,apolipoprotein A-I,0
FEN1_HUMAN,P39748,FEN1,Flap endonuclease 1 ,12,11,7,30,bin_5,Flap endonuclease 1,FEN1,1,5256,984,3547,FEN1,HGNC:3650,flap structure-specific endonuclease 1,5,solute carrier family 25 member 18,0
TDG_HUMAN,Q13569,TDG,G/T mismatch-specific thymine DNA glycosylase,19,7,4,30,bin_5,G/T mismatch-specific thymine DNA glycosylase,TDG,1,5265,980,172,TDG,HGNC:11700,thymine DNA glycosylase,5,solute carrier family 25 member 18,0
ROCK2_HUMAN,O75116,ROCK2,Rho-associated protein kinase 2,12,56,7,75,bin_5,Rho-associated protein kinase 2,ROCK2,1,6519,828,16999,ROCK2,HGNC:10252,Rho associated coiled-coil containing protein kinase 2,5,solute carrier family 25 member 18,0
OAS1_HUMAN,Q16701,OAS1,2'-5'-oligoadenylate synthase 1,4,24,9,37,bin_5,2'-5'-oligoadenylate synthase 1,OAS1,1,5517,951,1647,OAS1,HGNC:8086,2'-5'-oligoadenylate synthetase 1,5,solute carrier family 25 member 18,0
NPC1_HUMAN,O15118,NPC1,NPC intracellular cholesterol transporter 1 ,5,31,11,47,bin_5,NPC intracellular cholesterol transporter 1,NPC1,1,6322,853,3304,NPC1,HGNC:7897,NPC intracellular cholesterol transporter 1,5,solute carrier family 25 member 18,0
MSX1_HUMAN,P28360,MSX1,Homeobox protein MSX-1 ,8,46,5,59,bin_5,Homeobox protein MSX-1,MSX1,1,5589,940,510,MSX1,HGNC:7391,msh homeobox 1,5,solute carrier family 25 member 18,0
DISC1_HUMAN,C9J6D0,DISC1,Disrupted in schizophrenia 1 protein ,4,25,17,46,bin_5,Disrupted in schizophrenia 1 protein,DISC1,1,5484,955,23067,DISC1,HGNC:2888,DISC1 scaffold protein,5,apolipoprotein E,0
TFR1_HUMAN,P02786,TFRC,"Transferrin receptor protein 1, serum form",9,29,22,60,bin_5,"Transferrin receptor protein 1, serum form",TFRC,1,5821,906,46591,TFRC,HGNC:11763,transferrin receptor,5,solute carrier family 25 member 18,0
ANM5_HUMAN,Q9UKH1,PRMT5,"Protein arginine N-methyltransferase 5, N-terminally processed",14,18,8,40,bin_5,Protein arginine N-methyltransferase 5,PRMT5,1,6556,823,29,PRMT5,HGNC:10894,protein arginine methyltransferase 5,5,solute carrier family 25 member 18,0
PON1_HUMAN,P27169,PON1,Serum paraoxonase/arylesterase 1 ,6,7,7,20,bin_5,Serum paraoxonase/arylesterase 1,PON1,1,6267,859,943,PON1,HGNC:9204,paraoxonase 1,5,solute carrier family 25 member 18,0
NBN_HUMAN,O60934,NBN,Nibrin ,6,33,13,52,bin_5,Nibrin,NBN,1,5816,908,1154,NBN,HGNC:7652,nibrin,5,solute carrier family 25 member 18,0
RAD21_HUMAN,O60216,RAD21,64-kDa C-terminal product ,4,22,14,40,bin_5,no appropriate match,XXXX,0,5797,910,1084,RAD21,HGNC:9811,RAD21 cohesin complex component,5,solute carrier family 25 member 18,0
TSPO_HUMAN,P30536,TSPO,Translocator protein,5,38,7,50,bin_5,Translocator protein,TSPO,1,6477,835,23370,TSPO,HGNC:1158,translocator protein,5,apolipoprotein E,0
SP7_HUMAN,Q8TDD2,SP7,Transcription factor Sp7,6,11,3,20,bin_5,Transcription factor Sp7,SP7,1,6620,812,4615,SP7,HGNC:17321,Sp7 transcription factor,5,solute carrier family 25 member 18,0
BGH3_HUMAN,Q53XM1,TGFBI,Transforming growth factor-beta-induced protein ig-h3,6,7,8,21,bin_5,Transforming growth factor-beta-induced protein ig-h3,TGFBI,1,4557,1110,517,TGFBI,HGNC:11771,transforming growth factor beta induced,6,solute carrier family 25 member 18,0
TBX1_HUMAN,O43435,TBX1,T-box transcription factor TBX1,7,60,2,69,bin_5,T-box transcription factor TBX1,TBX1,1,4542,1115,1537,TBX1,HGNC:11592,T-box transcription factor 1,6,solute carrier family 25 member 18,0
ITAX_HUMAN,P20702,ITGAX,Integrin alpha-X,4,14,9,27,bin_5,Integrin alpha-X,ITGAX,1,4804,1064,913,ITGAX,HGNC:6152,integrin subunit alpha X,6,solute carrier family 25 member 18,0
VNEIDRRSTI,P13611,VCAN,Versican core protein,5,8,12,25,bin_5,Versican core protein,VCAN,1,4682,1086,4435,VCAN,HGNC:2464,versican,6,apolipoprotein E,0
MALT1_HUMAN,Q9UDY8,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 ,7,22,8,37,bin_5,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,MALT1,1,5141,1006,584,MALT1,HGNC:6819,MALT1 paracaspase,6,solute carrier family 25 member 18,0
4F2_HUMAN,P08195,SLC3A2,Amino acid transporter heavy chain SLC3A2 ,13,17,14,44,bin_5,Amino acid transporter heavy chain SLC3A2,SLC3A2,1,4529,1116,1429,SLC3A2,HGNC:11026,solute carrier family 3 member 2,6,solute carrier family 25 member 18,0
G3BP1_HUMAN,Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,11,7,7,25,bin_5,Ras GTPase-activating protein-binding protein 1,G3BP1,1,4113,1184,18615,G3BP1,HGNC:30292,G3BP stress granule assembly factor 1,6,solute carrier family 25 member 18,0
ANM1_HUMAN,Q99872,PRMT1,Protein arginine N-methyltransferase 1 ,15,23,6,44,bin_5,protein,PRMT1,1,5206,996,2345,PRMT1,HGNC:5187,protein arginine methyltransferase 1,6,solute carrier family 25 member 18,0
GELS_HUMAN,P06396,GSN,Gelsolin,6,31,17,54,bin_5,Gelsolin,GSN,1,4219,1162,10358,GSN,HGNC:4620,gelsolin,6,solute carrier family 25 member 18,0
CLD1_HUMAN,O95832,CLDN1,Claudin-1,3,26,8,37,bin_5,Claudin-1,CLDN1,1,4208,1166,14309,CLDN1,HGNC:2032,claudin 1,6,apolipoprotein A1,0
B2L11_HUMAN,Q8WYM1,BCL2L11,Bcl-2-like protein 11,2,39,7,48,bin_5,Bcl-2-like protein 11,BCL2L11,1,4609,1095,1727,BCL2L11,HGNC:994,BCL2 like 11,6,apolipoprotein A-I,0
MEF2A_HUMAN,Q02078,MEF2A,Myocyte-specific enhancer factor 2A,14,18,5,37,bin_5,Myocyte-specific enhancer factor 2A,MEF2A,1,4576,1105,13143,MEF2A,HGNC:6993,myocyte enhancer factor 2A,6,solute carrier family 25 member 18,0
RBP2_HUMAN,PATSIPTPAS,RANBP2,E3 SUMO-protein ligase RanBP2,6,9,14,29,bin_5,E3 SUMO-protein ligase RanBP2,RANBP2,1,4261,1152,1258,RANBP2,HGNC:9848,RAN binding protein 2,6,solute carrier family 25 member 18,0
HAND2_HUMAN,P61296,HAND2,Heart- and neural crest derivatives-expressed protein 2,9,44,4,57,bin_5,Heart- and neural crest derivatives-expressed protein 2,HAND2,1,5139,1007,718,HAND2,HGNC:4808,heart and neural crest derivatives expressed 2,6,solute carrier family 25 member 18,0
FLNA_HUMAN,P21333,FLNA,Filamin-A,14,49,25,88,bin_5,Filamin-A,FLNA,1,4586,1102,7573,FLNA,HGNC:3754,filamin A,6,solute carrier family 25 member 18,0
BAG3_HUMAN,O95817,BAG3,BAG family molecular chaperone regulator 3,6,18,9,33,bin_5,BAG family molecular chaperone regulator 3,BAG3,1,4341,1141,2186,BAG3,HGNC:939,BAG cochaperone 3,6,apolipoprotein E,0
ALDOA_HUMAN,P04075,ALDOA,Fructose-bisphosphate aldolase A ,8,10,14,32,bin_5,Fructose-bisphosphate aldolase A,ALDOA,1,4135,1182,10781,ALDOA,HGNC:414,"aldolase, fructose-bisphosphate A",6,apolipoprotein E,0
CSKP_HUMAN,Q5VT19,CASK,Peripheral plasma membrane protein CASK ,7,12,15,34,bin_5,Peripheral plasma membrane protein CASK,CASK,1,4145,1178,779,CASK,HGNC:1497,calcium/calmodulin dependent serine protein kinase,6,apolipoprotein E,0
PRKDC_HUMAN,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,12,46,13,71,bin_5,DNA-dependent protein kinase catalytic subunit,PRKDC,1,5025,1026,145732,PRKDC,HGNC:9413,"protein kinase, DNA-activated, catalytic subunit",6,solute carrier family 25 member 18,0
KPCT_HUMAN,Q04759,PRKCQ,Protein kinase C theta type,6,24,5,35,bin_5,protein,PRKCQ,1,4268,1149,2990,PRKCQ,HGNC:9410,protein kinase C theta,6,solute carrier family 25 member 18,0
CATK_HUMAN,P43235,CTSK,Cathepsin K,7,18,9,34,bin_5,Cathepsin K,CTSK,1,4850,1051,10757,CTSK,HGNC:2536,cathepsin K,6,apolipoprotein E,0
PDPN_HUMAN,Q8NBR3,PDPN,29kDa cytosolic podoplanin intracellular domain ,3,21,20,44,bin_5,29kDa cytosolic podoplanin intracellular domain,PDPN,1,4376,1138,0,PDPN,HGNC:29602,podoplanin,6,solute carrier family 25 member 18,0
BNI3L_HUMAN,O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,3,13,6,22,bin_5,BNIP3L,BNIP3L,1,4255,1153,0,BNIP3L,HGNC:1085,BCL2 interacting protein 3 like,6,apolipoprotein A-I,0
ROBO1_HUMAN,Q9Y6N7,ROBO1,Roundabout homolog 1,3,27,6,36,bin_5,Roundabout homolog 1,ROBO1,1,4580,1104,1485,ROBO1,HGNC:10249,roundabout guidance receptor 1,6,solute carrier family 25 member 18,0
E2F4_HUMAN,Q16254,E2F4,Transcription factor E2F4,10,10,4,24,bin_5,Transcription factor E2F4,E2F4,1,5067,1021,4742,E2F4,HGNC:3118,E2F transcription factor 4,6,apolipoprotein E,0
DGAT2_HUMAN,Q96PD7,DGAT2,Diacylglycerol O-acyltransferase 2 ,4,14,9,27,bin_5,Diacylglycerol O-acyltransferase 2,DGAT2,1,4826,1057,3718,DGAT2,HGNC:16940,diacylglycerol O-acyltransferase 2,6,solute carrier family 25 member 18,0
SMC3_HUMAN,Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3,9,11,12,32,bin_5,Structural maintenance of chromosomes protein 3,SMC3,1,4570,1106,53080,SMC3,HGNC:2468,structural maintenance of chromosomes 3,6,apolipoprotein E,0
AQP2_HUMAN,P41181,AQP2,Aquaporin-2,3,10,10,23,bin_5,Aquaporin-2,AQP2,1,4562,1108,5124,AQP2,HGNC:634,aquaporin 2,6,apolipoprotein A-I,0
BC11A_HUMAN,Q9NWA7,BCL11A,B-cell lymphoma/leukemia 11A ,10,17,8,35,bin_5,B-cell lymphoma/leukemia 11A,BCL11A,1,4972,1033,766,BCL11A,HGNC:13221,BCL11 transcription factor A,6,solute carrier family 25 member 18,0
CASP9_HUMAN,Q9UIJ8,CASP9,Caspase-9 subunit p10,8,24,7,39,bin_5,Caspase-9 subunit p10,CASP9,1,5109,1010,469,CASP9,HGNC:1511,caspase 9,6,apolipoprotein E,0
CCL24_HUMAN,O00175,CCL24,C-C motif chemokine 24,4,17,1,22,bin_5,C-C motif chemokine 24,CCL24,1,3564,1308,38,CCL24,HGNC:10623,C-C motif chemokine ligand 24,7,solute carrier family 25 member 18,0
HXA5_HUMAN,P20719,HOXA5,Homeobox protein Hox-A5,6,25,2,33,bin_5,Homeobox protein Hox-A5,HOXA5,1,3523,1313,150,HOXA5,HGNC:5106,homeobox A5,7,solute carrier family 25 member 18,0
AQP3_HUMAN,Q92482,AQP3,Aquaporin-3,4,13,6,23,bin_5,Aquaporin-3,AQP3,1,3726,1262,3083,AQP3,HGNC:636,aquaporin 3 (Gill blood group),7,apolipoprotein A-I,0
SMUF2_HUMAN,Q9HAU4,SMURF2,E3 ubiquitin-protein ligase SMURF2,4,11,8,23,bin_5,E3 ubiquitin-protein ligase SMURF2,SMURF2,1,3624,1284,2186,SMURF2,HGNC:16809,SMAD specific E3 ubiquitin protein ligase 2,7,solute carrier family 25 member 18,0
INO80_HUMAN,Q9ULG1,INO80,Chromatin-remodeling ATPase INO80 ,8,25,7,40,bin_5,Chromatin-remodeling ATPase INO80,INO80,1,3992,1204,1932,INO80,HGNC:26956,INO80 complex ATPase subunit,7,solute carrier family 25 member 18,0
AP2A_HUMAN,P05549,TFAP2A,Transcription factor AP-2-alpha,12,29,3,44,bin_5,Transcription factor AP-2-alpha,TFAP2A,1,3515,1314,10610,TFAP2A,HGNC:11742,transcription factor AP-2 alpha,7,solute carrier family 25 member 18,0
IL12A_HUMAN,P29459,IL12A,Interleukin-12 subunit alpha,6,26,5,37,bin_5,Interleukin-12 subunit alpha,IL12A,1,3326,1382,12071,IL12A,HGNC:5969,interleukin 12A,7,solute carrier family 25 member 18,0
CXB2_HUMAN,Q9H536,GJB2,Gap junction beta-2 protein,4,17,8,29,bin_5,Gap junction beta-2 protein,GJB2,1,4042,1194,3552,GJB2,HGNC:4284,gap junction protein beta 2,7,solute carrier family 25 member 18,0
ATG4B_HUMAN,Q9Y4P1,ATG4B,Cysteine protease ATG4B ,5,13,6,24,bin_5,Cysteine protease ATG4B,ATG4B,1,3400,1360,1069,ATG4B,HGNC:20790,autophagy related 4B cysteine peptidase,7,solute carrier family 25 member 18,0
ADAM9_HUMAN,Q13443,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,9,28,7,44,bin_5,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,1,3386,1364,3475,ADAM9,HGNC:216,ADAM metallopeptidase domain 9,7,apolipoprotein E,0
STIL_HUMAN,Q15468,STIL,SCL-interrupting locus protein,1,20,7,28,bin_5,SCL-interrupting locus protein,STIL,1,3600,1293,41,STIL,HGNC:10879,STIL centriolar assembly protein,7,solute carrier family 25 member 18,0
PARP2_HUMAN,HDFGLRTPPL,PARP2,Poly [ADP-ribose] polymerase 2 ,12,13,4,29,bin_5,Poly [ADP-ribose] polymerase 2,PARP2,1,3583,1303,215394,PARP2,HGNC:272,poly(ADP-ribose) polymerase 2,7,apolipoprotein E,0
FIBB_HUMAN,P02675,FGB,Fibrinogen beta chain,4,22,15,41,bin_5,Fibrinogen beta chain,FGB,1,3424,1350,27633,FGB,HGNC:3662,fibrinogen beta chain,7,solute carrier family 25 member 18,0
RB11A_HUMAN,P62491,RAB11A,Ras-related protein Rab-11A ,7,31,24,62,bin_5,Ras-related protein Rab-11A,RAB11A,1,3984,1205,749,RAB11A,HGNC:9760,"RAB11A, member RAS oncogene family",7,solute carrier family 25 member 18,0
MEF2D_HUMAN,Q14814,MEF2D,Myocyte-specific enhancer factor 2D,11,11,5,27,bin_5,Myocyte-specific enhancer factor 2D,MEF2D,1,3589,1300,12419,MEF2D,HGNC:6997,myocyte enhancer factor 2D,7,solute carrier family 25 member 18,0
SIR4_HUMAN,Q9Y6E7,SIRT4,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial ",10,14,3,27,bin_5,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",SIRT4,1,3444,1339,154,SIRT4,HGNC:14932,sirtuin 4,7,solute carrier family 25 member 18,0
OSTCN_HUMAN,P02818,BGLAP,Osteocalcin,5,37,8,50,bin_5,Osteocalcin,BGLAP,1,3330,1380,34048,BGLAP,HGNC:1043,bone gamma-carboxyglutamate protein,7,apolipoprotein E,0
C5AR1_HUMAN,P21730,C5AR1,C5a anaphylatoxin chemotactic receptor 1,2,27,4,33,bin_5,C5a anaphylatoxin chemotactic receptor 1,C5AR1,1,3353,1376,2176,C5AR1,HGNC:1338,complement C5a receptor 1,7,apolipoprotein E,0
NLRP6_HUMAN,P59044,NLRP6,"NACHT, LRR and PYD domains-containing protein 6 ",9,23,7,39,bin_5,"NACHT, LRR and PYD domains-containing protein 6",NLRP6,1,3876,1224,1374,NLRP6,HGNC:22944,NLR family pyrin domain containing 6,7,solute carrier family 25 member 18,0
SIX3_HUMAN,ILRARAVVAF,SIX3,Homeobox protein SIX3,6,25,3,34,bin_5,Homeobox protein SIX3,SIX3,1,3427,1347,1641,SIX3,HGNC:10889,SIX homeobox 3,7,solute carrier family 25 member 18,0
NEK2_HUMAN,P51955,NEK2,Serine/threonine-protein kinase Nek2,6,18,11,35,bin_5,Serine/threonine-protein kinase Nek2,NEK2,1,3785,1249,299,NEK2,HGNC:7745,NIMA related kinase 2,7,solute carrier family 25 member 18,0
UBE2C_HUMAN,O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C,5,13,6,24,bin_5,Ubiquitin-conjugating enzyme E2 C,UBE2C,1,3448,1336,24149,UBE2C,HGNC:15937,ubiquitin conjugating enzyme E2 C,7,solute carrier family 25 member 18,0
MRP4_HUMAN,O15439,ABCC4,ATP-binding cassette sub-family C member 4,16,13,8,37,bin_5,ATP-binding cassette sub-family C member 4,ABCC4,1,3423,1351,4499,ABCC4,HGNC:55,ATP binding cassette subfamily C member 4 (PEL blood group),7,apolipoprotein B,0
DCE2_HUMAN,Q05329,GAD2,Glutamate decarboxylase 2 ,4,9,12,25,bin_5,Glutamate decarboxylase 2,GAD2,1,3587,1302,843,GAD2,HGNC:4093,glutamate decarboxylase 2,7,apolipoprotein E,0
ABCG5_HUMAN,Q9H222,ABCG5,ATP-binding cassette sub-family G member 5 ,7,14,3,24,bin_5,ATP-binding cassette sub-family G member 5,ABCG5,1,3907,1219,4222,ABCG5,HGNC:13886,ATP binding cassette subfamily G member 5,7,solute carrier family 25 member 18,0
CNTP2_HUMAN,Q9UHC6,CNTNAP2,Contactin-associated protein-like 2,3,21,14,38,bin_5,Contactin-associated protein-like 2,CNTNAP2,1,3754,1255,1740,CNTNAP2,HGNC:13830,contactin associated protein 2,7,solute carrier family 25 member 18,0
USP9X_HUMAN,Q93008,USP9X,Ubiquitin carboxyl-terminal hydrolase 9X,9,26,7,42,bin_5,Ubiquitin carboxyl-terminal hydrolase 9X,no appropriate match,0,3581,1304,95,USP9X,HGNC:12632,ubiquitin specific peptidase 9 X-linked,7,solute carrier family 25 member 18,0
ACTS_HUMAN,P68133,ACTA1,"Actin, alpha skeletal muscle, intermediate form",5,11,11,27,bin_5,ACTA1,ACTA1,1,3574,1306,13902,ACTA1,HGNC:129,"actin alpha 1, skeletal muscle",7,apolipoprotein B,0
RCC1_HUMAN,P18754,RCC1,Regulator of chromosome condensation,8,8,7,23,bin_5,Regulator of chromosome condensation,RCC1,1,3864,1231,18141,RCC1,HGNC:1913,regulator of chromosome condensation 1,7,apolipoprotein E,0
ELAV1_HUMAN,Q15717,ELAVL1,ELAV-like protein 1,9,10,13,32,bin_5,ELAV-like protein 1,ELAVL1,1,3968,1208,829,ELAVL1,HGNC:3312,ELAV like RNA binding protein 1,7,apolipoprotein E,0
NMDZ1_HUMAN,Q5VSF5,GRIN1,"Glutamate receptor ionotropic, NMDA 1",10,23,16,49,bin_5,"Glutamate receptor ionotropic, NMDA 1",GRIN1,1,2995,1506,20226,GRIN1,HGNC:4584,glutamate ionotropic receptor NMDA type subunit 1,8,solute carrier family 25 member 18,0
SCRB1_HUMAN,Q8WTV0,SCARB1,Scavenger receptor class B member 1,13,27,9,49,bin_5,Scavenger receptor class B member 1,SCARB1,1,2971,1511,0,SCARB1,HGNC:1664,scavenger receptor class B member 1,8,apolipoprotein A1,0
AMRA1_HUMAN,Q9C0C7,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1 ,4,19,14,37,bin_5,Activating molecule in BECN1-regulated autophagy protein 1,AMBRA1,1,3111,1460,99,AMBRA1,HGNC:25990,autophagy and beclin 1 regulator 1,8,solute carrier family 25 member 18,0
KDM5B_HUMAN,Q9UGL1,KDM5B,Lysine-specific demethylase 5B,9,16,4,29,bin_5,Lysine-specific demethylase 5B,KDM5B,1,3072,1482,372,KDM5B,HGNC:18039,lysine demethylase 5B,8,solute carrier family 25 member 18,0
NOX5_HUMAN,Q9H6E0,NOX5,NADPH oxidase 5,7,10,4,21,bin_5,NADPH oxidase 5,NOX5,1,3280,1402,872,NOX5,HGNC:14874,NADPH oxidase 5,8,solute carrier family 25 member 18,0
FOXN1_HUMAN,O15353,FOXN1,Forkhead box protein N1,3,15,2,20,bin_5,Forkhead box protein N1,FOXN1,1,2969,1512,2503,FOXN1,HGNC:12765,forkhead box N1,8,solute carrier family 25 member 18,0
MTP_HUMAN,P55157,MTTP,Microsomal triglyceride transfer protein large subunit,12,15,9,36,bin_5,Microsomal triglyceride transfer protein large subunit,MTTP,1,2777,1580,950,MTTP,HGNC:7467,microsomal triglyceride transfer protein,8,solute carrier family 25 member 18,0
MYLK_HUMAN,Q9UIT9,MYLK,"Myosin light chain kinase, smooth muscle, deglutamylated form",5,9,7,21,bin_5,"Myosin light chain kinase, smooth muscle, deglutamylated form",MYLK,1,3306,1392,2,MYLK,HGNC:7590,myosin light chain kinase,8,solute carrier family 25 member 18,0
THB_HUMAN,P10828,THRB,Thyroid hormone receptor beta,11,16,5,32,bin_5,Thyroid hormone receptor beta,THRB,1,2844,1558,67161,THRB,HGNC:11799,thyroid hormone receptor beta,8,solute carrier family 25 member 18,0
LYAM3_HUMAN,P16109,SELP,P-selectin,9,15,5,29,bin_5,P-selectin,SELP,1,2835,1562,31198,SELP,HGNC:10721,selectin P,8,solute carrier family 25 member 18,0
TYOBP_HUMAN,O43914,TYROBP,TYRO protein tyrosine kinase-binding protein ,5,30,4,39,bin_5,TYRO protein tyrosine kinase-binding protein,TYROBP,1,3053,1491,430,TYROBP,HGNC:12449,transmembrane immune signaling adaptor TYROBP,8,solute carrier family 25 member 18,0
HS71B_HUMAN,P0DMV9,HSPA1B,Heat shock 70 kDa protein 1B ,15,25,20,60,bin_5,Heat shock 70 kDa protein 1B,HSPA1B,1,3009,1501,5894,HSPA1B,HGNC:5233,heat shock protein family A (Hsp70) member 1B,8,solute carrier family 25 member 18,0
WWTR1_HUMAN,Q9GZV5,WWTR1,WW domain-containing transcription regulator protein 1,4,25,7,36,bin_5,WW domain-containing transcription regulator protein 1,WWTR1,1,2870,1548,3297,WWTR1,HGNC:24042,WW domain containing transcription regulator 1,8,solute carrier family 25 member 18,0
CADM1_HUMAN,X5D2C8,CADM1,Cell adhesion molecule 1 ,4,14,7,25,bin_5,Cell adhesion molecule 1,CADM1,1,3277,1403,85649,CADM1,HGNC:5951,cell adhesion molecule 1,8,solute carrier family 25 member 18,0
CLD5_HUMAN,O00501,CLDN5,Claudin-5,2,23,10,35,bin_5,Claudin-5,CLDN5,1,3019,1498,9787,CLDN5,HGNC:2047,claudin 5,8,apolipoprotein A1,0
DHX9_HUMAN,Q08211,DHX9,ATP-dependent RNA helicase A ,35,43,16,94,bin_5,ATP-dependent RNA helicase A,DHX9,1,2886,1537,18357,DHX9,HGNC:2750,DExH-box helicase 9,8,apolipoprotein E,0
VDAC2_HUMAN,P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,7,5,10,22,bin_5,Voltage-dependent anion-selective channel protein 2,VDAC2,1,2779,1578,3327,VDAC2,HGNC:12672,voltage dependent anion channel 2,8,solute carrier family 25 member 18,0
HCN2_HUMAN,Q9UL51,HCN2,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,5,11,5,21,bin_5,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,HCN2,1,2794,1574,143,HCN2,HGNC:4846,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,8,solute carrier family 25 member 18,0
